chamber,congress,session,roll_number,chamber_roll_number,vote_date,title,question,result,yeas,nays,present,not_voting
House,115,2,1,1,2018-01-08,,Call of the House,Passed,0,0,357,74
House,115,2,2,2,2018-01-09,"Supporting the rights of the people of Iran to free expression, condemning the Iranian regime for its crackdown on legitimate protests, and for other purposes",On Motion to Suspend the Rules and Agree,Passed,415,2,0,14
House,115,2,4,4,2018-01-09,Screening and Vetting Passenger Exchange Act,On Motion to Suspend the Rules and Pass,Passed,415,1,0,15
House,115,2,3,3,2018-01-09,Post-Caliphate Threat Assessment Act of 2017,On Motion to Suspend the Rules and Pass,Passed,413,0,0,18
House,115,2,5,5,2018-01-10,,On Motion to Adjourn,Failed,51,331,0,49
House,115,2,7,7,2018-01-10,,On Motion to Adjourn,Failed,62,324,0,45
House,115,2,6,6,2018-01-10,,On Motion to Adjourn,Failed,54,311,0,66
House,115,2,8,8,2018-01-10,"Providing for consideration of the bill (S. 139) to implement the use of Rapid DNA instruments to inform decisions about pretrial release or detention and their conditions, to solve and prevent violent crimes and other crimes, to exonerate the innocent, to prevent DNA analysis backlongs, and for other purposes",On Agreeing to the Resolution,Passed,233,181,0,17
House,115,2,9,9,2018-01-10,Providing for consideration of the bill (S. 140) to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,On Ordering the Previous Question,Passed,234,181,0,16
House,115,2,10,10,2018-01-10,Providing for consideration of the bill (S. 140) to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,On Agreeing to the Resolution,Passed,227,181,0,23
House,115,2,11,11,2018-01-10,To amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to clarify the use of amounts in the WMAT Settlement Fund,On Passage,Passed,239,173,0,19
House,115,2,12,12,2018-01-10,DHS Overseas Personnel Enhancement Act of 2017,"On Motion to Suspend the Rules and Pass, as Amended",Passed,415,0,0,16
House,115,2,13,13,2018-01-10,,On Approving the Journal,Passed,231,178,1,21
House,115,2,14,14,2018-01-11,,On Agreeing to the Amendment,Failed,183,233,0,16
House,115,2,15,15,2018-01-11,Rapid DNA Act of 2017,On Motion to Commit with Instructions,Failed,189,227,0,15
House,115,2,16,16,2018-01-11,Rapid DNA Act of 2017,On Passage,Passed,256,164,0,12
House,115,2,17,17,2018-01-11,Counter Terrorist Network Act,On Motion to Suspend the Rules and Pass,Passed,410,2,0,19
House,115,2,18,18,2018-01-16,Miscellaneous Tariff Bill Act of 2018,"On Motion to Suspend the Rules and Pass, as Amended",Passed,402,0,0,28
House,115,2,19,19,2018-01-16,Alex Diekmann Peak Designation Act of 2017,On Motion to Suspend the Rules and Pass,Passed,400,3,0,27
House,115,2,20,20,2018-01-17,Providing for consideration of the bill (H.R. 3326) the World Bank Accountability Act; and providing for consideration of the bill (H.R. 2954) the Home Mortgage Disclosure Adjustment Act,On Ordering the Previous Question,Passed,230,187,0,13
House,115,2,21,21,2018-01-17,Providing for consideration of the bill (H.R. 3326) the World Bank Accountability Act; and providing for consideration of the bill (H.R. 2954) the Home Mortgage Disclosure Adjustment Act,On Agreeing to the Resolution,Passed,228,188,0,14
House,115,2,22,22,2018-01-17,Family Self-Sufficiency Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,412,5,0,13
House,115,2,23,23,2018-01-17,,On Agreeing to the Amendment,Agreed to,420,0,0,10
House,115,2,25,25,2018-01-17,Expanding Investment Opportunities Act,"On Motion to Suspend the Rules and Pass, as Amended",Passed,418,2,0,10
House,115,2,24,24,2018-01-17,World Bank Accountability Act of 2017,On Passage,Passed,237,184,0,9
House,115,2,26,26,2018-01-17,,On Approving the Journal,Passed,225,185,1,19
House,115,2,27,27,2018-01-18,"Providing for consideration of the Senate amendment to H.R. 195, the Federal Register Printing Savings Act of 2017; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules",On Ordering the Previous Question,Passed,229,191,0,10
House,115,2,28,28,2018-01-18,"Providing for consideration of the Senate amendment to H.R. 195, the Federal Register Printing Savings Act of 2017; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules; and providing for consideration of motions to suspend the rules",On Agreeing to the Resolution,Passed,226,194,0,10
House,115,2,29,29,2018-01-18,"Providing for consideration of H.R. 4712, the Born-Alive Abortion Survivors Protection Act; providing for proceedings during the period from January 22, 2018, through January 26, 2018",On Ordering the Previous Question,Passed,229,190,0,11
